,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
72270,36.0,2.0,10.0,80000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
274,60.0,5.0,8.0,82000.0,0.0,17809.15,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69949,60.0,6.0,10.0,72572.0,0.0,14250.77,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22959,36.0,6.0,2.0,105000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1801,60.0,3.0,10.0,90000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26252,36.0,3.0,,25500.0,0.0,6354.66,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21856,60.0,5.0,2.0,172000.0,0.0,31644.12,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30021,60.0,5.0,5.0,40000.0,0.0,10606.99,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61164,36.0,2.0,10.0,95000.0,0.0,4987.48,7.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
58567,36.0,3.0,1.0,100000.0,0.0,3297.26,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
52206,60.0,3.0,5.0,115000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2437,60.0,5.0,10.0,39370.0,0.0,14706.5,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95418,36.0,2.0,4.0,28000.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76592,36.0,3.0,10.0,32000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26821,36.0,4.0,7.0,50000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87830,60.0,5.0,3.0,87500.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26244,60.0,4.0,10.0,98500.0,0.0,15441.08,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47834,36.0,3.0,5.0,78000.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92472,36.0,3.0,8.0,40000.0,0.0,10386.11,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89382,36.0,2.0,10.0,43000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93794,36.0,2.0,3.0,170000.0,0.0,24659.76,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26765,36.0,3.0,10.0,49000.0,0.0,13254.93,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85720,36.0,3.0,3.0,63000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
66969,36.0,5.0,6.0,45000.0,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
93896,36.0,3.0,5.0,140000.0,0.0,22943.38,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55174,60.0,5.0,,35000.0,0.0,15247.84,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33887,36.0,5.0,10.0,83195.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59590,36.0,5.0,10.0,52000.0,0.0,10049.37,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16512,36.0,5.0,10.0,70000.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5431,36.0,3.0,10.0,30000.0,0.0,7681.55,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44113,60.0,6.0,,53893.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91091,36.0,3.0,2.0,50000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46912,60.0,2.0,10.0,100000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54988,36.0,3.0,2.0,65000.0,0.0,6090.2,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70450,36.0,3.0,,26000.0,0.0,6140.62,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23273,36.0,1.0,10.0,44000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
84028,36.0,4.0,1.0,35000.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
28585,60.0,2.0,10.0,118000.0,0.0,10115.27,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43627,36.0,4.0,5.0,66000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9753,60.0,5.0,3.0,38000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18775,60.0,4.0,1.0,72000.0,0.0,26245.82,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
85656,36.0,4.0,10.0,62000.0,0.0,18026.6,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
73795,36.0,3.0,0.0,38000.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17897,36.0,2.0,4.0,75000.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
33969,36.0,6.0,10.0,29000.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47019,36.0,2.0,2.0,77825.0,0.0,17342.25,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
82280,36.0,2.0,10.0,70000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42775,36.0,3.0,2.0,75000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38453,36.0,1.0,10.0,119872.0,0.0,12318.65,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67230,36.0,2.0,10.0,76900.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5705,36.0,3.0,0.0,68000.0,0.0,0.0,5.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54292,36.0,3.0,3.0,126000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24788,60.0,6.0,,35000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
