,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
80024,60.0,3.0,3.0,150000.0,0.0,16492.45,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55411,36.0,2.0,2.0,60000.0,0.0,2697.79,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23046,36.0,3.0,9.0,26000.0,0.0,5895.01,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27481,60.0,3.0,,105000.0,0.0,33889.64,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81157,36.0,1.0,,75000.0,0.0,11549.92,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29438,36.0,2.0,2.0,26000.0,0.0,2334.26,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
86580,60.0,4.0,5.0,78750.0,0.0,16531.55,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68030,36.0,3.0,3.0,70000.0,0.0,5244.06,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
49951,36.0,1.0,10.0,62000.0,0.0,1331.28,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
48530,36.0,2.0,3.0,50000.0,0.0,6745.3,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
64358,36.0,3.0,10.0,100000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71732,36.0,4.0,2.0,23000.0,0.0,5250.6,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
40446,36.0,1.0,10.0,60000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9999,36.0,3.0,10.0,50000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90869,36.0,2.0,10.0,105000.0,0.0,3725.98,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19823,36.0,2.0,,40247.0,0.0,3504.05,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6418,36.0,1.0,10.0,105000.0,0.0,5473.55,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40268,36.0,1.0,2.0,110000.0,0.0,8591.95,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18173,60.0,3.0,3.0,141041.0,0.0,21451.16,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
75813,36.0,2.0,10.0,70000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78294,36.0,1.0,5.0,150000.0,0.0,25499.19,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50147,36.0,2.0,0.0,45000.0,0.0,2033.15,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
66840,60.0,3.0,10.0,82304.0,0.0,21479.97,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65613,36.0,4.0,,120000.0,0.0,13595.05,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73031,36.0,3.0,10.0,85000.0,0.0,5998.39,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60169,36.0,2.0,3.0,118000.0,0.0,10389.95,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37457,60.0,3.0,5.0,53352.0,0.0,8874.11,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11725,36.0,3.0,10.0,70000.0,0.0,4270.83,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76072,36.0,1.0,10.0,100000.0,0.0,6047.05,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2436,36.0,3.0,,61235.0,0.0,10406.14,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40336,36.0,2.0,10.0,43000.0,0.0,3387.07,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52516,36.0,4.0,10.0,35000.0,0.0,3060.63,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3241,36.0,2.0,10.0,31000.0,0.0,5440.81,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
73522,36.0,3.0,2.0,52000.0,0.0,1979.26,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
83794,60.0,2.0,10.0,52000.0,0.0,12976.45,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27753,36.0,3.0,0.0,45000.0,0.0,13090.82,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3737,36.0,3.0,10.0,32000.0,0.0,8524.47,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
